Brand,UniqueID,Range (Km),Efficiency (Wh/km),Acceleration (0-100),Battery (kWh),FastCharge (kW),Cargo (L),Price_per_Range (/km),Germany_Price(€),Segment
BMW,3290,610,178,4.9,108.7,230.0,578.0,114.0,70900.0,D - Large
MG,1708,360,171,7.9,61.7,107.0,363.0,103.0,39990.0,C - Medium
Tesla,3403,445,135,6.2,60.0,110.0,682.0,89.0,37970.0,D - Large
BMW,1472,360,197,6.1,71.0,92.0,500.0,225.0,77300.0,E - Executive
Mercedes,3139,585,145,6.7,85.0,208.0,506.0,92.0,55728.0,D - Large
Tesla,3476,495,160,5.6,79.0,125.0,971.0,103.0,50970.0,D - Large
Fiat,1285,235,159,9.0,37.3,65.0,185.0,128.0,34990.0,B - Compact
CUPRA,1516,350,166,7.3,58.0,75.0,385.0,110.0,39370.0,C - Medium
Tesla,3104,455,165,4.8,75.0,124.0,971.0,122.0,52990.0,D - Large
Kia,2212,455,171,7.7,78.0,105.0,485.0,91.0,41390.0,B - Compact
Tesla,1619,445,169,5.0,75.0,124.0,971.0,126.0,55970.0,D - Large
CUPRA,1518,450,171,7.0,77.0,103.0,385.0,103.0,46450.0,C - Medium
Volvo,3443,610,184,3.9,112.0,250.0,575.0,120.0,71990.0,D - Large
Tesla,3034,550,136,5.2,75.0,124.0,682.0,86.0,44990.0,D - Large
BYD,3125,245,184,7.9,45.1,51.0,400.0,135.0,31990.0,B - Compact
Mercedes,3296,500,188,4.3,94.0,190.0,698.0,142.0,71281.0,D - Large
Tesla,3103,375,160,5.9,60.0,110.0,971.0,128.0,45970.0,D - Large
Tesla,3269,460,172,3.8,79.0,125.0,971.0,143.0,62970.0,D - Large
Toyota,3401,385,184,4.4,71.0,110.0,600.0,138.0,,D - Large
Tesla,3404,580,136,5.2,79.0,125.0,682.0,83.0,45970.0,D - Large
Renault,2135,335,155,8.0,52.0,75.0,326.0,91.0,32900.0,B - Compact
Tesla,3417,490,157,7.2,77.0,130.0,952.0,100.0,47970.0,D - Large
BYD,3072,440,208,4.5,91.3,165.0,578.0,140.0,58990.0,D - Large
Kia,1666,385,168,7.8,64.8,70.0,495.0,110.0,45690.0,C - Medium
Jaecoo,3336,325,181,7.7,58.9,80.0,480.0,96.0,,C - Medium
BYD,3474,415,180,5.5,74.8,130.0,591.0,111.0,,C - Medium
Tesla,3362,380,158,7.2,60.0,110.0,952.0,113.0,40970.0,D - Large
Leapmotor,3233,360,181,8.0,65.0,110.0,430.0,93.0,32400.0,C - Medium
Skoda,3033,450,171,6.6,77.0,120.0,470.0,96.0,44180.0,C - Medium
Tesla,1183,430,174,4.0,75.0,124.0,971.0,146.0,60970.0,D - Large
Renault,1521,380,158,7.4,60.0,80.0,440.0,117.0,46600.0,C - Medium
Tesla,3333,475,166,4.8,79.0,125.0,971.0,118.0,53970.0,D - Large
Tesla,1525,490,155,4.4,76.0,135.0,649.0,117.0,55260.0,D - Large
Tesla,1138,455,162,4.6,73.5,136.0,542.0,124.0,55480.0,D - Large
Kia,3300,400,195,8.4,78.0,115.0,610.0,113.0,45990.0,C - Medium
Volvo,1910,365,178,5.3,65.0,101.0,325.0,117.0,44990.0,B - Compact
Fiat,2251,260,168,11.0,43.8,62.0,361.0,95.0,24990.0,B - Compact
Leapmotor,3039,225,160,12.7,36.0,30.0,210.0,82.0,18900.0,A - Mini
Kia,3289,315,213,10.6,67.0,75.0,1.0,133.0,42290.0,N - Passenger Van
Hyundai,2236,450,178,7.5,80.0,196.0,577.0,110.0,51650.0,C - Medium
Hyundai,1830,390,168,7.8,65.4,79.0,493.0,107.0,47190.0,B - Compact
Tesla,2186,455,165,5.9,75.0,124.0,971.0,113.0,49970.0,D - Large
BYD,1782,330,183,7.3,60.5,71.0,440.0,122.0,37990.0,C - Medium
Skoda,3032,350,169,8.5,59.0,110.0,470.0,108.0,38680.0,C - Medium
BYD,2002,445,185,3.8,82.5,100.0,453.0,122.0,52990.0,D - Large
Tesla,2188,490,153,3.4,75.0,124.0,682.0,126.0,58470.0,D - Large
Changan,3367,385,177,7.5,68.0,130.0,651.0,105.0,38990.0,C - Medium
Tesla,1992,525,143,4.4,75.0,124.0,682.0,101.0,49990.0,D - Large
Audi,1355,365,237,5.7,86.5,147.0,722.0,212.0,81500.0,E - Executive
BMW,1535,385,192,6.8,74.0,94.0,510.0,184.0,67300.0,D - Large
Volkswagen,1087,190,168,9.6,32.0,39.0,341.0,172.0,31900.0,C - Medium
Tesla,1743,345,165,6.9,57.0,108.0,971.0,139.0,45970.0,D - Large
BYD,2095,460,237,4.9,108.8,100.0,235.0,149.0,69615.0,E - Executive
Tesla,1177,320,153,5.6,49.0,87.0,542.0,149.0,46380.0,D - Large
Mercedes,2193,685,172,6.2,118.0,160.0,620.0,172.0,109551.0,F - Luxury
Tesla,1591,485,155,4.4,75.0,124.0,649.0,112.0,53668.0,D - Large
Zeekr,3082,500,192,6.0,96.0,260.0,605.0,116.0,58950.0,D - Large
XPENG,3275,435,184,6.7,80.0,290.0,571.0,114.0,47600.0,D - Large
Renault,3392,185,149,12.1,27.5,40.0,360.0,112.0,18900.0,A - Mini
Mercedes,1337,370,216,5.1,80.0,99.0,500.0,202.0,66069.0,D - Large
Toyota,3394,430,167,7.3,72.0,110.0,416.0,103.0,45990.0,C - Medium
Skoda,3097,455,169,6.7,77.0,120.0,585.0,104.0,48900.0,C - Medium
Renault,3219,480,181,7.9,87.0,95.0,545.0,93.0,47900.0,C - Medium
BYD,3195,265,163,9.1,43.2,60.0,308.0,107.0,30990.0,B - Compact
BMW,1701,380,170,5.6,64.7,86.0,490.0,148.0,55000.0,C - Medium
BMW,1252,515,157,5.7,80.7,112.0,470.0,122.0,59200.0,D - Large
Zeekr,3429,540,178,5.3,96.0,260.0,521.0,98.0,53950.0,D - Large
Tesla,3186,440,136,6.1,60.0,110.0,682.0,96.0,40970.0,D - Large
Tesla,1555,400,143,6.1,57.0,100.0,649.0,114.0,44668.0,D - Large
Renault,1164,315,165,11.4,52.0,41.0,338.0,111.0,36840.0,B - Compact
Hyundai,2231,300,153,10.6,46.0,70.0,351.0,89.0,25400.0,A - Mini
Tesla,1485,350,146,5.6,51.0,87.0,649.0,136.0,45560.0,D - Large
BYD,3070,420,196,6.7,82.5,115.0,578.0,121.0,47990.0,D - Large
Volkswagen,2028,445,173,6.7,77.0,120.0,543.0,108.0,46335.0,C - Medium
Audi,1490,405,189,8.5,76.6,124.0,520.0,140.0,51900.0,C - Medium
Tesla,1322,470,162,3.6,76.0,135.0,649.0,137.0,59560.0,D - Large
Tesla,3363,470,160,5.6,75.0,124.0,971.0,112.0,50970.0,D - Large
Kia,3124,475,164,7.7,78.0,105.0,435.0,88.0,43240.0,C - Medium
Skoda,1280,440,175,8.6,77.0,124.0,585.0,112.0,48900.0,C - Medium
Volkswagen,2213,365,162,7.6,59.0,110.0,385.0,104.0,36425.0,C - Medium
Hyundai,1423,390,164,7.9,64.0,61.0,332.0,110.0,42900.0,B - Compact
BYD,3192,340,178,7.3,60.5,75.0,440.0,121.0,38990.0,C - Medium
Mini,1994,385,168,8.6,64.7,86.0,460.0,104.0,43500.0,C - Medium
Hyundai,3439,545,147,7.4,80.0,196.0,446.0,101.0,55300.0,D - Large
Mazda,3107,420,162,7.6,68.0,130.0,526.0,107.0,44900.0,D - Large
TOGG,3302,435,195,7.8,85.0,115.0,441.0,92.0,40118.0,C - Medium
Hyundai,1165,250,153,9.7,38.3,32.0,357.0,146.0,35350.0,C - Medium
Mercedes,1988,415,170,8.9,70.5,90.0,495.0,133.0,53514.0,C - Medium
Rolls,1765,465,219,4.5,102.0,126.0,380.0,828.0,379015.0,F - Luxury
Tesla,1991,420,136,6.1,57.0,108.0,682.0,101.0,40970.0,D - Large
Kia,2211,325,169,7.5,55.0,80.0,485.0,114.0,35990.0,B - Compact
Omoda,3046,330,178,7.6,58.9,80.0,380.0,103.0,,C - Medium
Mercedes,3396,565,150,6.8,85.0,235.0,556.0,99.0,57096.0,D - Large
Tesla,1404,575,165,3.2,95.0,140.0,798.0,185.0,110970.0,F - Luxury
Fiat,1945,310,164,9.0,50.8,79.0,360.0,103.0,36490.0,B - Compact
Ford,3073,275,159,8.0,43.6,85.0,566.0,124.0,36900.0,B - Compact
Kia,3029,440,182,5.2,80.0,205.0,510.0,128.0,53990.0,C - Medium
Mini,1409,180,161,7.3,28.9,43.0,211.0,207.0,35700.0,B - Compact
Geely,3308,330,182,6.9,60.2,95.0,461.0,111.0,,C - Medium
firefly,3178,240,172,8.1,41.2,65.0,496.0,125.0,,B - Compact
Lucid,3273,720,163,3.2,117.0,190.0,910.0,184.0,130900.0,F - Luxury
Audi,2013,420,183,6.7,77.0,120.0,520.0,129.0,52950.0,C - Medium
Volkswagen,1314,410,188,8.5,77.0,124.0,543.0,124.0,46335.0,C - Medium
Nissan,3366,460,163,7.6,75.1,103.0,437.0,88.0,41200.0,C - Medium
Renault,3127,315,165,8.2,52.0,75.0,420.0,98.0,32400.0,B - Compact
Kia,1338,375,171,7.8,64.0,61.0,451.0,108.0,42790.0,C - Medium
Tesla,1405,560,170,2.4,95.0,140.0,798.0,212.0,120970.0,F - Luxury
Volkswagen,3250,445,173,6.7,77.0,120.0,543.0,99.0,46335.0,C - Medium
Volvo,3441,455,176,5.9,80.0,190.0,575.0,141.0,62990.0,D - Large
MG,1541,370,185,8.4,68.3,81.0,448.0,105.0,37990.0,B - Compact
Tesla,1321,465,155,4.4,72.0,108.0,649.0,121.0,53560.0,D - Large
BMW,1473,505,208,4.6,105.2,139.0,500.0,213.0,100100.0,E - Executive
Mercedes,3406,465,183,7.4,85.0,208.0,667.0,121.0,59048.0,D - Large
Hyundai,2237,445,180,5.3,80.0,196.0,544.0,134.0,59400.0,C - Medium
Volkswagen,1839,475,162,6.5,77.0,125.0,532.0,114.0,53995.0,E - Executive
Tesla,3332,515,153,3.4,79.0,125.0,682.0,121.0,59470.0,D - Large
BMW,1145,235,161,7.3,37.9,46.0,260.0,167.0,39000.0,B - Compact
Tesla,1182,425,169,5.0,72.0,108.0,971.0,147.0,59965.0,D - Large
MG,1707,300,169,7.7,50.8,64.0,363.0,111.0,34990.0,C - Medium
BYD,2001,480,172,5.9,82.5,100.0,453.0,104.0,48990.0,D - Large
BYD,1919,350,173,7.0,60.5,65.0,345.0,100.0,32990.0,C - Medium
Tesla,3120,470,160,5.6,75.0,124.0,971.0,112.0,50970.0,D - Large
Changan,3369,410,190,7.9,78.0,70.0,635.0,111.0,44990.0,D - Large
Citroen,3231,485,200,8.8,96.9,135.0,565.0,78.0,,C - Medium
BMW,1996,390,166,8.3,64.7,86.0,490.0,129.0,47900.0,C - Medium
BYD,2067,425,205,9.6,87.0,85.0,552.0,107.0,44990.0,D - Large
Mercedes,3473,490,145,6.7,71.0,150.0,506.0,106.0,52872.0,D - Large
Hyundai,1204,390,164,7.9,64.0,61.0,361.0,110.0,41850.0,B - Compact
Mercedes,3140,575,148,4.9,85.0,208.0,506.0,108.0,60285.0,D - Large
Mazda,3466,470,164,7.9,77.0,135.0,528.0,95.0,,D - Large
Dongfeng,3036,255,157,12.5,40.0,51.0,326.0,96.0,,B - Compact
Hyundai,3438,420,143,8.3,60.0,150.0,446.0,108.0,45550.0,D - Large
